unit_id,year,code,credential_level,program_completers,program_completers_log,program_completer_share_within_school,instruction_salary_pct,academic_support_salary_pct,student_services_salary_pct,research_salary_pct,no_ap_credit,study_abroad,career_counseling,employment_services,placement_services,instruction_expense_pct,research_expense_pct,student_service_expense_pct,endowment_per_fte,equity_ratio,staff_per_student,instructional_fte_per_student,irps_fte_per_student,instructional_share_of_staff,research_share_of_staff,instructional_staff_total,instructional_staff_short_contract,instructional_staff_long_contract,instructional_staff_long_contract_share,instructional_staff_short_contract_share
132851,2020,1506,1,12,2.5649493574615367,0.0036708473539308656,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1507,1,8,2.1972245773362196,0.002447231569287244,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1508,1,0,0.0,0.0,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1907,1,41,3.7376696182833684,0.012542061792597125,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,2203,2,8,2.1972245773362196,0.002447231569287244,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,2401,2,897,6.8001700683022,0.2743958397063322,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,4103,1,66,4.204692619390966,0.02018966044661976,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,4301,1,206,5.332718793265369,0.06301621290914652,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,4301,2,11,2.4849066497880004,0.00336494340776996,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,4805,1,19,2.995732273553991,0.005812174977057204,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,5001,1,14,2.70805020110221,0.004282655246252677,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
