"unitid","institution name","year","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)"
"138354","University of West Florida","2020","27","7","5","6222","37"
"138372","Orange Technical College-West Campus","2020","32","0","10",,
"138479","William T McFatter Technical College","2020","49","0","12",,
"138488","Orange Technical College-East Campus","2020","62","0","9",,
"138497","Withlacoochee Technical College","2020","39","0","4",,
"186274","Robert Fiance Beauty Schools","2020",,,,,
"244233","City College-Hollywood","2020",,,,,
"244279","Meridian College","2020",,,,,
"262129","New College of Florida","2020","37","2","14","55596","41"
"362700","Aveda Institute-Fort Myers","2020",,,,,
"363712","Yeshivah Gedolah Rabbinical College","2020",,,,,
"366003","South Florida Bible College and Theological Seminary","2020",,,,,
"366553","Southern Technical College","2020",,,,,
"367875","H W Brewster Technical College","2020","42","0","6",,
"367884","Hodges University","2020",,,,,
"369400","Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","2020",,,,,
"369419","Erwin Technical College","2020","59","0","6",,
"372462","Academy of Cosmetology","2020",,,,,
"378886","Artistic Nails and Beauty Academy-Tampa","2020",,,,,
"378956","National Aviation Academy of Tampa Bay","2020",,,,,
"383163","La Belle Beauty Academy","2020",,,,,
"384254","Beacon College","2020",,,,,
"385132","The Salon Professional Academy-Melbourne","2020",,,,,
"385619","Everglades University","2020",,,,,
"386472","Herzing University-Orlando","2020",,,,,
"387925","Cortiva Institute","2020",,,,,
"404338","Schiller International University","2020",,,,,
"406024","Galen College of Nursing-Tampa Bay","2020",,,,,
"406149","Sarasota School of Massage Therapy","2020",,,,,
"408844","Florida National University-Main Campus","2020",,,,,
"409032","Nouvelle Institute","2020",,,,,
"412173","Academy for Nursing and Health Occupations","2020",,,,,
"417327","City College-Altamonte Springs","2020",,,,,
"419217","HCA Florida Mercy Hospital School of Practical Nursing","2020",,,,,
"419226","Marion Technical College","2020","56","0","8",,
"423120","Compu-Med Vocational Careers Corp","2020",,,,,
"426314","Embry-Riddle Aeronautical University-Worldwide","2020",,,,,
"427991","Osceola Technical College","2020","34","0","10",,
"428000","Miami Ad School","2020",,,,,
"428170","Southeastern College-West Palm Beach","2020",,,,,
"430582","Praxis Institute","2020",,,,,
