"unitid","institution name","year","DRVEF122020.Total 12-month unduplicated headcount"
"461306","D A Dorsey Technical College","2020","113"
"461883","Millennia Atlantic University","2020","262"
"462035","Florida Academy","2020","533"
"475477","City College-Hollywood","2020","352"
"475547","Paul Mitchell the School-Fort Myers","2020","180"
"475714","American Medical Academy","2020","767"
"476063","Tulsa Welding School-Jacksonville","2020","433"
"476498","Futura Career Institute","2020","247"
"476814","Florida Institute of Recording Sound and Technology","2020","192"
"476939","FVI School of Nursing and Technology","2020","911"
"480569","Florida Institute of Technology-Online","2020","3479"
"480842","Shear Finesse Beauty Academy","2020","37"
"480851","Miami Media School","2020","123"
"481252","Ultrasound Medical Institute","2020","156"
"481313","Kaizen Beauty Academy","2020","173"
"481368","Prestige Health & Beauty Sciences Academy","2020","75"
"481483","Boca Beauty Academy","2020","350"
"482459","DeVry University-Florida","2020","1069"
"482936","Florida Polytechnic University","2020","1376"
"483470","More Tech Institute","2020","112"
"483595","Ana G. Mendez University","2020","2190"
"483869","InterAmerican Technical Institute","2020","86"
"483896","Parisian Spa Institute","2020","354"
"484075","First Coast Barber Academy","2020","71"
"484172","Lee Professional Institute","2020","91"
"484473","University of Florida-Online","2020","4932"
"485272","West Coast University-Miami","2020","1492"
"485342","Aparicio-Levy Technical College","2020","647"
"485379","Hollywood Institute of Beauty Careers-West Palm Beach","2020","477"
"485388","Hollywood Institute of Beauty Careers-Casselberry","2020","495"
"485485","Latin Beauty Academy","2020","184"
"485768","Atlantis University","2020","469"
"486150","Treasure Coast Technical College","2020","126"
"486239","San Ignacio University","2020","211"
"486354","United International College","2020","90"
"486512","Florida International Training Institute","2020","201"
"487311","Jones Technical Institute","2020","682"
"487384","Florida Career College-Pembroke Pines","2020","986"
"487393","Florida Career College-West Palm Beach","2020","1360"
"487409","Florida Career College-Hialeah","2020","980"
"487418","Florida Career College-Lauderdale Lakes","2020","1383"
"487436","Florida Career College-Jacksonville","2020","860"
"487445","Florida Career College-Boynton Beach","2020","906"
"487454","Florida Career College-Margate","2020","1082"
"487472","Florida Career College-Orlando","2020","1728"
"488059","Med College","2020","86"
"488147","PiBerry Institute","2020","143"
"488226","Center for Neurosomatic Studies","2020","26"
"488280","National Personal Training Institute","2020","78"
"488332","Hope College of Arts and Sciences","2020","271"
"488891","South Dade Technical College-South Dade Skills Center Campus","2020","397"
"489238","Boca Beauty Academy-Parkland","2020","268"
"490018","National Personal Training Institute-Tampa","2020","53"
"490054","HCI College","2020","1323"
"490090","Gadsden Technical College","2020","45"
"490142","World Class Academy of Beauty Careers","2020","49"
"490391","American Beauty Schools","2020","87"
"490975","Fortis College-Cutler Bay","2020","442"
"491136","Empire Beauty School-Tampa","2020","143"
"491145","Empire Beauty School-Lakeland","2020","146"
"491534","Pets Playground Grooming School","2020","20"
"491747","UR Beauty & Barber Academy","2020","78"
"491783","Wilton Simpson Technical College","2020","82"
"491932","Installer Institute","2020","28"
"492360","The Salon Professional Academy-Delray Beach","2020","72"
"492652","KCK Beauty & Barber Academy","2020","36"
"492935","Global Medical & Technical Training Institute","2020","100"
"493488","Premiere International College","2020","24"
"493567","Bellasa Professional Institute","2020","83"
"494597","Faith Theological Seminary and Christian College","2020","109"
"495183","Mariano Moreno Culinary Institute","2020","80"
"495217","Adrian H. Wallace Barber Academy","2020","82"
"495235","Total Beauty Institute","2020","13"
"495299","Florida Professional Institute","2020","18"
"495369","Paul Mitchell the School-Fort Lauderdale","2020","16"
"495420","Arizona College of Nursing-Tampa","2020","105"
"495439","Arizona College of Nursing-Fort Lauderdale","2020",
"496052","Ruben's Five Star Academy","2020","21"
"496636","Antigua College International","2020",
"496681","Florida Academy of Nursing","2020",
"496973","Herzing University-Tampa","2020",
"496991","Galen Health Institutes-Miami Campus","2020",
"497222","Salon Professional Academy-Elevate Salon Institute","2020",
"498030","Universal Technical Institute-South Florida Miramar","2020",
"498076","Galen Health Institutes-Sarasota","2020",
"498085","Galen Health Institutes-Gainesville","2020",
"498234","Larkin University","2020",
"498340","Chancellor Institute","2020",
"498377","Commercial Diving Technologies Institute","2020",
"498827","JT's Cuts Academy","2020",
"498924","URBE University","2020",
"499370","Arizona College of Nursing-Sarasota","2020",
"499495","Gwinnett Institute","2020",
"500005","Affinity Hair Academy","2020",
"500014","ICR Florida Education","2020",
"500041","Kennedy University of Baptist","2020",
"500087","Doral College","2020",
"500397","Aguilas International Technical Institute","2020",
"500403","Miami Barber Institute","2020",
"500537","UR Beauty & Barber Academy-At True Family Barber Academy","2020",
