"unitid","institution name","year","IC2020.Institution does not accept dual, credit for life, or AP credits","IC2020.Study abroad","IC2020.Academic/career counseling service","IC2020.Employment services for students","IC2020.Placement services for completers","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE","DRVEF122020.Total 12-month unduplicated headcount"
"262129","New College of Florida","2020","Implied no","Yes","Yes","Yes","Yes","37","2","14","55596","41","334","114","114","0","747"
"362700","Aveda Institute-Fort Myers","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"22","9","9","0","581"
"363712","Yeshivah Gedolah Rabbinical College","2020","Yes","Yes","Implied no","Implied no","Implied no",,,,,,"5","5","5","0","31"
"366003","South Florida Bible College and Theological Seminary","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"49","20","20","0","449"
"366553","Southern Technical College","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"125","72","72","0","1729"
"367875","H W Brewster Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","42","0","6",,,"42","25","25","0","273"
"367884","Hodges University","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"122","58","58","0","1307"
"369400","Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"115","50","50","0","3100"
"369419","Erwin Technical College","2020","Yes","Implied no","Yes","Yes","Yes","59","0","6",,,"72","44","44","0","1206"
"372462","Academy of Cosmetology","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"18","10","10","0","221"
"378886","Artistic Nails and Beauty Academy-Tampa","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"13","5","5","0","323"
"378956","National Aviation Academy of Tampa Bay","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"111","41","41","0","1031"
"383163","La Belle Beauty Academy","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"15","7","7","0","553"
"384254","Beacon College","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"163","41","41","0","440"
"385132","The Salon Professional Academy-Melbourne","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"19","10","10","0","246"
"385619","Everglades University","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"279","124","124","0","2599"
"386472","Herzing University-Orlando","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"45","23","23","0","1111"
"387925","Cortiva Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"13","4","4","0","141"
"404338","Schiller International University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"19","6","6","0","57"
"406024","Galen College of Nursing-Tampa Bay","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"154","90","90","0","2474"
"406149","Sarasota School of Massage Therapy","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"19","12","12","0","141"
"408844","Florida National University-Main Campus","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"313","121","121","0","9332"
"409032","Nouvelle Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"28","11","11","0","312"
"412173","Academy for Nursing and Health Occupations","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"36","19","19","0","703"
"417327","City College-Altamonte Springs","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"23","6","6","0","345"
"419217","HCA Florida Mercy Hospital School of Practical Nursing","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"13","8","8","0","143"
"419226","Marion Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","56","0","8",,,"131","84","84","0","667"
"423120","Compu-Med Vocational Careers Corp","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"22","8","8","0","293"
