"unitid","institution name","year","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE"
"449481","Dragon Rises College of Oriental Medicine","2020","4","1","1","0"
"449490","Palm Beach Academy of Health & Beauty","2020","12","5","5","0"
"449506","SABER College","2020","16","4","4","0"
"449524","Taylor College","2020","26","12","12","0"
"449533","Pensacola School of Massage Therapy & Health Careers","2020","8","4","4","0"
"449898","South University-Tampa","2020","96","49","49","0"
"449959","Paul Mitchell the School-Tampa","2020","28","15","15","0"
"451079","Academy for Five Element Acupuncture","2020","11","1","0","0"
"451097","Academy of Career Training","2020","11","5","5","0"
"451103","Miami Regional University","2020","153","82","82","0"
"451121","Paul Mitchell the School-Miami","2020","12","7","7","0"
"451149","Aveda Institute-South Florida","2020","73","38","38","0"
"451158","Aveda Institute-Tallahassee","2020","73","33","33","0"
"451167","Shear Excellence Hair Academy","2020","22","11","11","0"
"454865","Cambridge College of Healthcare & Technology","2020","69","41","41","0"
"454874","Cozmo Beauty School","2020","7","4","4","0"
"454917","Celebrity School of Beauty","2020","38","17","17","0"
"455479","Fortis Institute-Pensacola","2020","50","31","31","0"
"455831","Medical Institute of Palm Beach","2020","14","5","5","0"
"456481","Polytechnic University of Puerto Rico-Miami","2020","14","8","8","0"
"456490","Polytechnic University of Puerto Rico-Orlando","2020","35","17","16","1"
"456977","CBT Technology Institute-Cutler Bay","2020","16","5","5","0"
"457129","Chamberlain University-Florida","2020","122","56","56","0"
"457350","Florida School of Traditional Midwifery","2020","13","9","9","0"
"457378","Emerald Coast Technical College","2020","25","14","14","0"
"457387","Immokalee Technical College","2020","69","30","30","0"
"457396","American Academy of Cosmetology","2020","13","8","8","0"
