code,title,unit_id,distance,school.type,credential.level,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,id,school.name,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132709,2,Public,2,44117,1403,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
4301,Criminal Justice and Corrections.,132709,2,Public,2,44829,30,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
4901,Air Transportation.,132709,2,Public,2,75637,24,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
5108,Allied Health and Medical Assisting Services.,132709,1,Public,2,38252,19,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,1,Public,1,79695,35,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,1,Public,2,75879,66,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,0,Public,99,67251,18,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132709,1,Public,2,83358,103,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
5202,"Business Administration, Management and Operations.",132709,2,Public,2,49180,59,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
5202,"Business Administration, Management and Operations.",132709,2,Public,3,61029,129,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
5203,Accounting and Related Services.,132709,2,Public,2,48605,18,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
4228,"Clinical, Counseling and Applied Psychology.",132842,2,"Private, nonprofit",5,51235,49,132842,Albizu University-Miami,13,6,0.7571,16091,0.4821052632,2,26,1
4228,"Clinical, Counseling and Applied Psychology.",132842,1,"Private, nonprofit",6,93578,113,132842,Albizu University-Miami,13,6,0.7571,16091,0.4821052632,2,26,1
0105,Agricultural and Domestic Animal Services.,132851,1,Public,2,30374,20,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
0105,Agricultural and Domestic Animal Services.,132851,0,Public,99,33961,17,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
1101,"Computer and Information Sciences, General.",132851,0,Public,99,40428,19,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
1105,Computer Systems Analysis.,132851,0,Public,99,46213,20,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132851,1,Public,3,52015,16,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132851,3,Public,2,42066,690,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
4103,Physical Science Technologies/Technicians.,132851,0,Public,99,69253,45,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
4301,Criminal Justice and Corrections.,132851,0,Public,99,52150,57,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5107,Health and Medical Administrative Services.,132851,0,Public,99,46953,44,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132851,1,Public,2,63119,25,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132851,0,Public,99,50312,44,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132851,1,Public,2,75665,95,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132851,1,Public,3,93193,48,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5202,"Business Administration, Management and Operations.",132851,1,Public,2,32335,41,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5202,"Business Administration, Management and Operations.",132851,1,Public,3,51258,181,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5202,"Business Administration, Management and Operations.",132851,0,Public,99,40768,131,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5204,Business Operations Support and Assistant Services.,132851,0,Public,99,43057,103,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5207,Entrepreneurial and Small Business Operations.,132851,0,Public,99,30039,33,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
5212,Management Information Systems and Services.,132851,0,Public,99,33676,22,132851,College of Central Florida,13,12,,21993,0.8733662504,1,24,1
0402,Architecture.,132903,1,Public,3,64826,24,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
0901,Communication and Media Studies.,132903,2,Public,3,58783,178,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
0904,Journalism.,132903,1,Public,3,60887,32,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
0907,"Radio, Television, and Digital Communication.",132903,1,Public,3,48753,54,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
0909,"Public Relations, Advertising, and Applied Communication.",132903,1,Public,3,62140,72,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1101,"Computer and Information Sciences, General.",132903,1,Public,3,98526,302,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1101,"Computer and Information Sciences, General.",132903,1,Public,5,123587,36,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1301,"Education, General.",132903,1,Public,6,81030,24,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1304,Educational Administration and Supervision.,132903,1,Public,5,63413,79,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
1305,Educational/Instructional Media Design.,132903,3,Public,5,78410,23,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
