code,title,unit_id,distance,school.type,credential.level,earnings.1_yr.overall_median_earnings,earnings.1_yr.working_not_enrolled.overall_count,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,earnings.5_yr.overall_median_earnings,earnings.5_yr.working_not_enrolled.overall_count,id,school.name,location.lat,location.lon,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
1311,Student Counseling and Personnel Services.,132903,1,Public,5,45569.0,75.0,57137,34,56601.0,34.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132903,1,Public,3,46646.0,565.0,51784,288,50464.0,239.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132903,2,Public,5,54726.0,60.0,56186,25,,,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132903,1,Public,3,33471.0,437.0,53197,290,50972.0,175.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132903,3,Public,5,43460.0,70.0,53077,44,57358.0,43.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering.",132903,1,Public,3,67953.0,138.0,96972,64,84789.0,45.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1408,Civil Engineering.,132903,1,Public,3,69321.0,97.0,86803,59,86452.0,38.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1409,Computer Engineering.,132903,1,Public,3,76819.0,107.0,106680,65,99037.0,23.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1410,"Electrical, Electronics, and Communications Engineering.",132903,1,Public,3,75498.0,130.0,99442,86,99495.0,58.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1419,Mechanical Engineering.,132903,1,Public,3,66298.0,426.0,89663,209,92483.0,107.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
