program_percentage_resources,program_percentage_architecture,program_percentage_ethnic_cultural_gender,program_percentage_communication,program_percentage_communications_technology,program_percentage_computer,program_percentage_personal_culinary,program_percentage_education,program_percentage_engineering,program_percentage_engineering_technology,program_percentage_language,program_percentage_family_consumer_science,program_percentage_legal,program_percentage_english,program_percentage_humanities,program_percentage_library,program_percentage_biological,program_percentage_mathematics,program_percentage_military,program_percentage_multidiscipline,program_percentage_parks_recreation_fitness,program_percentage_philosophy_religious,program_percentage_theology_religious_vocation,program_percentage_physical_science,program_percentage_science_technology,program_percentage_psychology,program_percentage_security_law_enforcement,program_percentage_public_administration_social_service,program_percentage_social_science,program_percentage_construction,program_percentage_mechanic_repair_technology,program_percentage_precision_production,program_percentage_transportation,program_percentage_visual_performing,program_percentage_health,program_percentage_business_marketing,program_percentage_history,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,program_reporter_programs_offered,student_faculty_ratio,endowment_begin,endowment_end,dolflag,school_name,unit_id,has_endowment
0.0,0.0,0.0,0.0,0.0119,0.0652,0.0623,0.0171,0.0,0.0431,0.0,0.0019,0.0038,0.0,0.4018,0.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868,0.0247,0.0,0.0012,0.0002,0.0026,0.0,0.0038,0.1594,0.098,0.0,5803.0,7862.0,0.3961,,27.0,30060727.0,30669599.0,1.0,Indian River State College,134608,1
0.0,0.0,0.0,0.0,0.0,0.0,0.8056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1944,0.0,0.0,4449.0,,,8.0,13.0,,,0.0,International Academy,134714,0
0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0145,0.0159,0.0,0.0,0.0,0.0087,0.0087,0.0014,0.0,0.0493,0.0087,0.0,0.0333,0.0391,0.0,0.0,0.0101,0.0,0.0464,0.0,0.0,0.0464,0.0,0.0,0.0,0.087,0.0826,0.4232,0.1101,0.0014,10576.0,8698.0,0.5459,,11.0,59546445.0,66101962.0,0.0,Jacksonville University,134945,1
0.0,0.0,0.0,0.0057,0.0,0.0537,0.0098,0.0,0.0039,0.0057,0.0,0.0,0.0169,0.0,0.051,0.0,0.0094,0.0,0.0,0.0299,0.0285,0.0,0.0,0.0,0.0,0.0378,0.0531,0.0,0.0022,0.0,0.0,0.0,0.0,0.0071,0.5879,0.0976,0.0,5657.0,6172.0,0.6249,,14.0,,,1.0,Keiser University-Ft Lauderdale,135081,0
0.0,0.0,0.0,0.0,0.0,0.0,0.9215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785,0.0,0.0,2255.0,,,6.0,20.0,,,0.0,La Belle Beauty School,135142,0
0.0125,0.0,0.0,0.0052,0.0063,0.0125,0.0647,0.0417,0.0,0.0209,0.0,0.0271,0.0,0.0,0.2722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1981,0.0,0.0,0.0,0.0,0.0219,0.048,0.0063,0.2284,0.0156,0.0,7249.0,6548.0,0.3879,,14.0,15666097.0,18315332.0,1.0,Florida Gateway College,135160,1
0.0,0.0,0.0,0.0,0.0,0.0397,0.1289,0.0,0.0,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2139,0.0,0.0,0.0,0.0595,0.1048,0.0,0.0,0.3725,0.017,0.0,12905.0,,,26.0,8.0,,,1.0,Lake Technical College,135179,0
0.0,0.0,0.0,0.0,0.0,0.0405,0.0,0.0,0.0,0.0298,0.0,0.0,0.0,0.0,0.5876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802,0.0,0.0074,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.1182,0.1355,0.0,4398.0,6619.0,0.3448,,28.0,11905416.0,13660157.0,1.0,Lake-Sumter State College,135188,1
0.0,0.0,0.0,0.0,0.0,0.0224,0.0434,0.0,0.0,0.0741,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3552,0.0,0.0,0.1147,0.1161,0.049,0.0,0.0,0.2154,0.0,0.0,18682.0,,,33.0,21.0,,,1.0,Fort Myers Technical College,135267,0
0.0,0.0,0.0,0.0028,0.0,0.0,0.2603,0.0,0.0,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754,0.1664,0.0797,0.0,0.0,0.3229,0.0,0.0,4998.0,,,35.0,15.0,,,1.0,Lively Technical College,135276,0
