code,title,unit_id,distance,school_type,credential_level,school_city,location_lat,location_lon,locale,carnegie_size_setting,median_family_income,students_with_pell_grant,age_entry,title_iv_eligibility_type,actual,pred,school_name,4_yr_working_count,error,school_count,confidence,pct_error,score
5122,Public Health.,132693,1,Public,3,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,53408.0,52823.777,Eastern Florida State College,49,584.22265625,12,medium,0.011059842472986723,0.010802919891359392
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132693,2,Public,2,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,77666.99999999993,79641.13,Eastern Florida State College,106,-1974.1328125000728,58,high,-0.024787854501615334,-0.02455373629188972
5202,"Business Administration, Management and Operations.",132693,1,Public,2,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,42612.99999999999,44597.535,Eastern Florida State College,28,-1984.5351562500073,26,high,-0.04449876320063599,-0.04253590099701802
5202,"Business Administration, Management and Operations.",132693,3,Public,3,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,54132.999999999956,55600.38,Eastern Florida State College,286,-1467.3789062500437,58,high,-0.026391527092364774,-0.02631321214007369
1101,"Computer and Information Sciences, General.",132709,2,Public,3,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,68626.00000000001,62711.965,Broward College,32,5914.035156250015,19,high,0.09430473388906135,0.09072931102735816
1310,Special Education and Teaching.,132709,1,Public,3,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,59330.00000000001,50256.965,Broward College,21,9073.035156250007,6,medium,0.1805328910024366,0.16955340944043962
2203,Legal Support Services.,132709,1,Public,2,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,48911.00000000002,46853.086,Broward College,21,2057.914062500022,10,medium,0.04392270052916452,0.04125145055396433
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132709,2,Public,2,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,44116.99999999997,41435.02,Broward College,1403,2681.980468749971,36,high,0.06472738517058596,0.06469644024375473
4301,Criminal Justice and Corrections.,132709,2,Public,2,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,44828.99999999997,46949.61,Broward College,30,-2120.609375000029,10,medium,-0.04516777462538855,-0.04332501665184624
4901,Air Transportation.,132709,2,Public,2,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,75637.00000000001,66084.16,Broward College,24,9552.843750000015,5,low,0.1445557345676183,0.13697469525721606
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,1,Public,1,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,79695.00000000001,60577.957,Broward College,35,19117.042968750015,22,high,0.3155775451273178,0.3047758955620932
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,1,Public,2,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,75878.99999999997,65190.664,Broward College,66,10688.33593749997,39,high,0.16395500937454455,0.16126117085964414
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132709,1,Public,2,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,83358.00000000004,82768.98,Broward College,103,589.0234375000437,58,high,0.007116476027165371,0.007046966154127185
5202,"Business Administration, Management and Operations.",132709,2,Public,2,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,49180.00000000004,47105.37,Broward College,59,2074.6289062500364,26,high,0.04404230044427568,0.043217699076271036
5202,"Business Administration, Management and Operations.",132709,2,Public,3,Fort Lauderdale,26.119422,-80.14183,12,15,20743.0,0.9264472291,24.0,1,61029.000000000015,53674.98,Broward College,129,7354.019531250015,58,high,0.13701019482497218,0.13598170171307505
4228,"Clinical, Counseling and Applied Psychology.",132842,2,"Private, nonprofit",5,Miami,25.795181,-80.354942,13,6,16091.0,0.4821052632,26.0,1,51234.99999999997,69820.95,Albizu University-Miami,49,-18585.95312500003,9,medium,-0.26619449166965276,-0.26001073487729465
4228,"Clinical, Counseling and Applied Psychology.",132842,1,"Private, nonprofit",6,Miami,25.795181,-80.354942,13,6,16091.0,0.4821052632,26.0,1,93577.99999999993,76086.336,Albizu University-Miami,113,17491.664062499927,3,low,0.22989231702349547,0.22787750754539224
1105,Computer Systems Analysis.,132851,0,Public,99,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,46212.99999999997,44196.992,College of Central Florida,20,2016.007812499971,1,low,0.045614140526742626,0.042687093057371846
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132851,3,Public,2,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,42065.99999999996,39389.63,College of Central Florida,690,2676.3710937499636,36,high,0.06794608550692136,0.06787310109888622
4301,Criminal Justice and Corrections.,132851,0,Public,99,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,52149.999999999985,37126.637,College of Central Florida,57,15023.363281249985,4,low,0.40465187824737064,0.3967654370757497
5107,Health and Medical Administrative Services.,132851,0,Public,99,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,46953.000000000015,38567.03,College of Central Florida,44,8385.968750000015,1,low,0.2174387936587682,0.21171788056656327
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132851,1,Public,2,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,63118.99999999995,57121.734,College of Central Florida,25,5997.265624999949,39,high,0.1049909581811424,0.09973042162018325
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132851,0,Public,99,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,50312.0,52229.23,College of Central Florida,44,-1917.23046875,4,low,-0.03670799763931282,-0.03574219360430269
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132851,1,Public,2,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,75665.0,78340.41,College of Central Florida,95,-2675.40625,58,high,-0.034151038755942116,-0.03378438408688256
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132851,1,Public,3,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,93193.00000000007,87762.71,College of Central Florida,48,5430.289062500073,57,high,0.06187467324667352,0.06040256568356146
5202,"Business Administration, Management and Operations.",132851,1,Public,2,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,32334.999999999996,40900.223,College of Central Florida,41,-8565.222656250004,26,high,-0.2094175068003241,-0.2034400917036439
5202,"Business Administration, Management and Operations.",132851,1,Public,3,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,51258.00000000004,47060.152,College of Central Florida,181,4197.847656250036,58,high,0.08920174387849272,0.08875092399240346
5202,"Business Administration, Management and Operations.",132851,0,Public,99,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,40768.000000000015,40082.22,College of Central Florida,131,685.7812500000146,1,low,0.01710936348801835,0.016983218516596708
5207,Entrepreneurial and Small Business Operations.,132851,0,Public,99,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,30038.999999999978,43508.67,College of Central Florida,33,-13469.671875000022,1,low,-0.3095859122911925,-0.29825279480012784
5212,Management Information Systems and Services.,132851,0,Public,99,Ocala,29.166079,-82.175692,13,12,21993.0,0.8733662504,24.0,1,33676.000000000015,46918.055,College of Central Florida,22,-13242.054687499985,1,low,-0.2822379311269263,-0.2659330705802459
0402,Architecture.,132903,1,Public,3,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,64825.999999999985,62525.94,University of Central Florida,24,2300.0585937499854,4,low,0.036785669148198946,0.03485649210997152
0901,Communication and Media Studies.,132903,2,Public,3,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,58782.99999999997,58465.184,University of Central Florida,178,317.8164062499709,15,medium,0.005435994325414996,0.005407980166907741
0904,Journalism.,132903,1,Public,3,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,60886.999999999985,57357.06,University of Central Florida,32,3529.9414062499854,6,medium,0.06154327806891114,0.05920995677826844
0907,"Radio, Television, and Digital Communication.",132903,1,Public,3,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,48753.00000000001,60039.273,University of Central Florida,54,-11286.273437499993,7,medium,-0.18798151262188137,-0.18408021995423773
0909,"Public Relations, Advertising, and Applied Communication.",132903,1,Public,3,Orlando,28.602159,-81.200889,21,15,31400.0,0.7045342864,23.0,1,62139.999999999956,58946.383,University of Central Florida,72,3193.6171874999563,11,medium,0.05417834030051335,0.05337410639431016
